,movie,overview,preprocessed
68,Гран Торино ,Вышедший на пенсию автомеханик Уолт Ковальски проводит дни; починяя что-то по дому; попивая пиво и раз в месяц заходя к парикмахеру. И хотя последним желанием его недавно почившей жены было совершение им исповеди; Уолту — ожесточившемуся ветерану Корейской войны; всегда держащему свою винтовку наготове; — признаваться в общем-то не в чем. Да и нет того; кому он доверял бы в той полной мере; в какой доверяет своей собаке Дейзи.Все те люди; коих он некогда называл своими соседями; либо переехали; либо ушли в мир иной; а на смену им пришли иммигранты; которых он откровенно презирает. Противясь буквально всему; во что упирается его взгляд; — покосившиеся карнизы; заросшие лужайки домов и лица иностранцев повсюду; бесцельно шатающиеся шайки подростков; состоящие из хмонгов; латиносов и афро-американцев; полагающих; что окрестный мир целиком принадлежит им одним; неоперившиеся чужаки; в которых оказалось превратились собственные дети и внуки; — Уолт просто неспешно проживает остаток своей жизни.До той самой ночи; когда кто-то попытается украсть его «Гран Торино»…,"['вышедш', 'пенс', 'автомеханик', 'уолт', 'ковальск', 'провод', 'дни', 'почин', 'дом', 'попив', 'пив', 'месяц', 'заход', 'парикмахер', 'последн', 'желан', 'поч', 'жен', 'совершен', 'исповед', 'уолт', 'ожесточ', 'ветеран', 'корейск', 'войн', 'держа', 'винтовк', 'наготов', 'признава', 'общ', 'доверя', 'то', 'полн', 'мер', 'доверя', 'собак', 'дейз', 'ко', 'некогд', 'называ', 'сво', 'сосед', 'либ', 'перееха', 'либ', 'ушл', 'мир', 'ин', 'смен', 'пришл', 'иммигрант', 'откровен', 'презира', 'против', 'буквальн', 'упира', 'взгляд', 'покос', 'карниз', 'заросш', 'лужайк', 'дом', 'лиц', 'иностранц', 'повсюд', 'бесцельн', 'шата', 'шайк', 'подростк', 'состоя', 'хмонг', 'латинос', 'афр', 'американц', 'полага', 'окрестн', 'мир', 'целик', 'принадлеж', 'одн', 'неопер', 'чужак', 'оказа', 'преврат', 'собствен', 'дет', 'внук', 'уолт', 'неспешн', 'прожива', 'остаток', 'жизн', 'то', 'ноч', 'попыта', 'украст', 'гран', 'торин']"
69,Одержимость ,Эндрю мечтает стать великим. Казалось бы; вот-вот его мечта осуществится. Юношу замечает настоящий гений; дирижер лучшего в стране оркестра. Желание Эндрю добиться успеха быстро становится одержимостью; а безжалостный наставник продолжает подталкивать его все дальше и дальше — за пределы человеческих возможностей. Кто выйдет победителем из этой схватки?,"['эндр', 'мечта', 'стат', 'велик', 'каза', 'мечт', 'осуществ', 'юнош', 'замеча', 'настоя', 'ген', 'дирижер', 'лучш', 'стран', 'оркестр', 'желан', 'эндр', 'доб', 'успех', 'быстр', 'станов', 'одержим', 'безжалостн', 'наставник', 'продолжа', 'подталкива', 'предел', 'человеческ', 'возможн', 'выйдет', 'победител', 'схватк']"
70,Прислуга ,Американский Юг; на дворе 1960-е годы. Скитер только-только закончила университет и возвращается домой; в сонный городок Джексон; где никогда ничего не происходит. Она мечтает стать писательницей; вырваться в большой мир. Но для приличной девушки с Юга не пристало тешиться столь глупыми иллюзиями; приличной девушке следует выйти замуж и хлопотать по дому.Мудрая Эйбилин на тридцать лет старше Скитер; она прислуживает в домах белых всю свою жизнь; вынянчила семнадцать детей и давно уже ничего не ждет от жизни; ибо сердце ее разбито после смерти единственного сына.Минни — самая лучшая стряпуха во всем Джексоне; а еще она самая дерзкая служанка в городе. И острый язык не раз уже сослужил ей плохую службу. На одном месте Минни никогда подолгу не задерживается. Но с Минни лучше не связываться даже самым высокомерным белым дамочкам. Двух черных служанок и белую неопытную девушку объединяет одно — обостренное чувство справедливости и желание хоть как-то изменить порядок вещей. Смогут ли эти трое противостоять целому миру? Сумеют ли они выжить в этой борьбе?,"['американск', 'двор', 'год', 'скитер', 'законч', 'университет', 'возвраща', 'дом', 'сон', 'городок', 'джексон', 'происход', 'мечта', 'стат', 'писательниц', 'вырва', 'больш', 'мир', 'приличн', 'девушк', 'юг', 'приста', 'теш', 'стол', 'глуп', 'иллюз', 'приличн', 'девушк', 'след', 'выйт', 'замуж', 'хлопота', 'дом', 'мудр', 'эйбилин', 'тридца', 'старш', 'скитер', 'прислужива', 'дом', 'бел', 'вынянч', 'дет', 'ждет', 'жизн', 'иб', 'сердц', 'разбит', 'смерт', 'единствен', 'сын', 'мин', 'сам', 'лучш', 'стряпух', 'джексон', 'сам', 'дерзк', 'служанк', 'город', 'остр', 'язык', 'сослуж', 'плох', 'служб', 'одн', 'мест', 'мин', 'подолг', 'задержива', 'мин', 'связыва', 'сам', 'высокомерн', 'бел', 'дамочк', 'черн', 'служанок', 'бел', 'неопытн', 'девушк', 'объединя', 'одн', 'обострен', 'чувств', 'справедлив', 'желан', 'измен', 'порядок', 'вещ', 'смогут', 'тро', 'противостоя', 'цел', 'мир', 'сумеют', 'выж', 'борьб']"
71,Человек дождя ,У Чарли; грубоватого и эгоистичного молодого повесы; в наследство от отца остались лишь розовые кусты да «Бьюик» 49-го года. Внезапным «сюрпризом» для него стало открытие того; что львиная доля наследства оставлена отцом его больному аутизмом брату Раймонду.Задавшись целью отобрать свою «справедливую долю» семейного достояния; Чарли похищает старшего брата и держит его заложником. Но то; что было задумано им из эгоизма; перерастает в волшебную одиссею дружбы и самоосмысления; которая разводит границы обособленного мира Раймонда; а Чарли позволяет вырваться из оков своей некогда бесчувственной души.,"['чарл', 'грубоват', 'эгоистичн', 'молод', 'повес', 'наследств', 'отц', 'оста', 'розов', 'куст', 'бьюик', 'внезапн', 'сюрприз', 'стал', 'открыт', 'львин', 'дол', 'наследств', 'оставл', 'отц', 'больн', 'аутизм', 'брат', 'раймонд', 'зада', 'цел', 'отобра', 'справедлив', 'дол', 'семейн', 'достоян', 'чарл', 'похища', 'старш', 'брат', 'держ', 'заложник', 'задума', 'эгоизм', 'перераста', 'волшебн', 'одисс', 'дружб', 'самоосмыслен', 'развод', 'границ', 'обособлен', 'раймонд', 'чарл', 'позволя', 'вырва', 'ок', 'некогд', 'бесчувствен', 'душ']"
72,Изгой ,Герой этого фильма; Чак Ноланд; — сотрудник всемирно известной службы доставки «Федерал Экспресс». Чак — скрупулезный практик и неисправимый педант. Жизнь Ноланда; высокопоставленного инспектора международных отделений «ФедЕкс» расписана по минутам. И этих драгоценных минут катастрофически не хватает ни на личную жизнь; ни на любимую женщину…Однако безжалостная судьба заставила Ноланда иначе взглянуть на отпущенное ему время… Самолет; на котором путешествует Чак; падает в океан. Инженер; единственный; кому посчастливилось остаться в живых; попадает на необитаемый остров. Здесь Ноланду предстоит провести мучительно долгие годы в жестокой битве за выживание…,"['гер', 'фильм', 'чак', 'ноланд', 'сотрудник', 'всемирн', 'известн', 'служб', 'доставк', 'федера', 'экспресс', 'чак', 'скрупулезн', 'практик', 'неисправим', 'педант', 'ноланд', 'высокопоставлен', 'инспектор', 'международн', 'отделен', 'федекс', 'расписа', 'минут', 'драгоцен', 'минут', 'катастрофическ', 'хвата', 'личн', 'любим', 'женщин', 'безжалостн', 'судьб', 'застав', 'ноланд', 'инач', 'взглянут', 'отпущен', 'самолет', 'котор', 'путешеств', 'чак', 'пада', 'океа', 'инженер', 'единствен', 'посчастлив', 'оста', 'жив', 'попада', 'необита', 'остр', 'ноланд', 'предсто', 'провест', 'мучительн', 'долг', 'год', 'жесток', 'битв', 'выживан']"
73,Летят журавли ,Рассказ о людях; в чьи судьбы безжалостно вторглась война. Не все смогли с честью вынести это испытание. В центре киноповести — трагическая история двух влюбленных; которых разлучила война.,"['рассказ', 'люд', 'чьи', 'судьб', 'безжалостн', 'вторгл', 'войн', 'смогл', 'чест', 'вынест', 'испытан', 'центр', 'киноповест', 'трагическ', 'истор', 'влюблен', 'разлуч', 'войн']"
74,Шестое чувство ,Детский психиатр Малкольм Кроу сталкивается со странным случаем: девятилетнего Коула посещают страшные видения — призраки умерших. Все эти люди когда-то были убиты; и теперь они обрушивают на малыша свой гнетущий страх и отчаянный гнев.Как врач Малкольм бессилен помочь. Но как человек он пытается найти ключ к ужасному миру Коула; в котором веет дыханием смерти; и распускаются страшные цветы боли.,"['детск', 'психиатр', 'малкольм', 'кро', 'сталкива', 'стран', 'случа', 'девятилетн', 'коул', 'посеща', 'страшн', 'виден', 'призрак', 'умерш', 'убит', 'обрушива', 'малыш', 'сво', 'гнетущ', 'страх', 'отчая', 'гнев', 'врач', 'малкольм', 'бессил', 'помоч', 'пыта', 'найт', 'ключ', 'ужасн', 'мир', 'коул', 'котор', 'веет', 'дыхан', 'смерт', 'распуска', 'страшн', 'цвет', 'бол']"
75,Зверополис ,Добро пожаловать в Зверополис — современный город; населенный самыми разными животными; от огромных слонов до крошечных мышек. Зверополис разделен на районы; полностью повторяющие естественную среду обитания разных жителей — здесь есть и элитный район Площадь Сахары и неприветливый Тундратаун. В этом городе появляется новый офицер полиции; жизнерадостная зайчиха Джуди Хоппс; которая с первых дней работы понимает; как сложно быть маленькой и пушистой среди больших и сильных полицейских. Джуди хватается за первую же возможность проявить себя; несмотря на то; что ее партнером будет болтливый хитрый лис Ник Уайлд. Вдвоем им предстоит раскрыть сложное дело; от которого будет зависеть судьба всех обитателей Зверополиса.,"['добр', 'пожалова', 'зверополис', 'современ', 'город', 'населен', 'сам', 'разн', 'животн', 'огромн', 'слон', 'крошечн', 'мышек', 'зверополис', 'раздел', 'район', 'полност', 'повторя', 'естествен', 'сред', 'обитан', 'разн', 'жител', 'элитн', 'район', 'площад', 'сахар', 'неприветлив', 'тундратаун', 'город', 'появля', 'нов', 'офицер', 'полиц', 'жизнерадостн', 'зайчих', 'джуд', 'хоппс', 'перв', 'дне', 'работ', 'понима', 'сложн', 'маленьк', 'пушист', 'сред', 'больш', 'сильн', 'полицейск', 'джуд', 'хвата', 'перв', 'возможн', 'прояв', 'несмотр', 'партнер', 'болтлив', 'хитр', 'лис', 'ник', 'уайлд', 'вдво', 'предсто', 'раскр', 'сложн', 'дел', 'зависет', 'судьб', 'обитател', 'зверополис']"
76,Офицеры ,Судьбы двух друзей — Алексея Трофимова и Ивана Вараввы — прослеживаются на протяжении многих лет. В 20-е они вместе служили на пограничной заставе; бились с басмачами. Там они; будучи еще совсем молодыми; на всю жизнь запомнили наказ своего командира: «Есть такая профессия — родину защищать». Потом Испания; Великая Отечественная война и мирные дни. Старые друзья снова встречаются; уже став генералами.,"['судьб', 'друз', 'алексе', 'трофимов', 'ива', 'варавв', 'прослежива', 'протяжен', 'мног', 'вмест', 'служ', 'пограничн', 'застав', 'бил', 'басмач', 'будуч', 'молод', 'запомн', 'наказ', 'командир', 'професс', 'родин', 'защища', 'испан', 'велик', 'отечествен', 'войн', 'мирн', 'дни', 'стар', 'друз', 'встреча', 'став', 'генерал']"
77,Спасти рядового Райана ,Капитан Джон Миллер получает тяжелое задание. Вместе с отрядом из восьми человек Миллер должен отправиться в тыл врага на поиски рядового Джеймса Райана; три родных брата которого почти одновременно погибли на полях сражений.Командование приняло решение демобилизовать Райана и отправить его на родину к безутешной матери. Но для того; чтобы найти и спасти солдата; крошечному отряду придется пройти через все круги ада…,"['капита', 'джон', 'миллер', 'получа', 'тяжел', 'задан', 'вмест', 'отряд', 'восьм', 'миллер', 'долж', 'отправ', 'тыл', 'враг', 'поиск', 'рядов', 'джеймс', 'райа', 'родн', 'брат', 'одновремен', 'погибл', 'пол', 'сражен', 'командован', 'приня', 'решен', 'демобилизова', 'райа', 'отправ', 'родин', 'безутешн', 'матер', 'найт', 'спаст', 'солдат', 'крошечн', 'отряд', 'придет', 'пройт', 'круг', 'ад']"
78,Малыш ,Фильм «Малыш» стал первым полнометражным фильмом Чаплина-режиссера. Актера на главную роль Малыша — пятилетнего Джекки Кугана — Чаплин нашел на сцене; где ребенок выступал на равных со взрослыми. Джекки оказался прирожденным актером и схватывал все на лету.Фильм «Малыш» — это история ребенка; брошенного матерью вскоре после рождения. После цепи приключений подкидыша находит житель трущоб бедный Чарли; который учит ребенка тому; что знает сам.,"['фильм', 'малыш', 'перв', 'полнометражн', 'фильм', 'чаплин', 'режиссер', 'актер', 'главн', 'рол', 'малыш', 'пятилетн', 'джекк', 'куга', 'чаплин', 'нашел', 'сцен', 'ребенок', 'выступа', 'равн', 'взросл', 'джекк', 'оказа', 'прирожден', 'актер', 'схватыва', 'лет', 'фильм', 'малыш', 'истор', 'ребенк', 'брошен', 'матер', 'вскор', 'рожден', 'цеп', 'приключен', 'подкидыш', 'наход', 'жител', 'трущоб', 'бедн', 'чарл', 'уч', 'ребенк', 'знает']"
79,Эффект бабочки ,Мальчик Эван перенял от своего отца-психопата; ныне запертого в доме для умалишённых; странную болезнь — он не помнит некоторых эпизодов своей жизни; причем в эти моменты происходили довольно странные; а то и ужасные события. Возмужав и поступив в колледж; Эван делает удивительное открытие. Читая дневники; которые он писал в детстве по совету врача; Эван может возвращаться в детство и своими действиями менять будущее.,"['мальчик', 'эва', 'переня', 'отц', 'психопат', 'нын', 'заперт', 'дом', 'умалишен', 'стран', 'болезн', 'помн', 'некотор', 'эпизод', 'жизн', 'прич', 'момент', 'происход', 'стран', 'ужасн', 'событ', 'возмужа', 'поступ', 'колледж', 'эва', 'дела', 'удивительн', 'открыт', 'чит', 'дневник', 'писа', 'детств', 'совет', 'врач', 'эва', 'возвраща', 'детств', 'сво', 'действ', 'меня', 'будущ']"
80,В погоне за счастьем ,Крис Гарднер — отец-одиночка. Воспитывая пятилетнего сына; Крис изо всех сил старается сделать так; чтобы ребенок рос счастливым. Работая продавцом; он не может оплатить квартиру; и их выселяют.Оказавшись на улице; но не желая сдаваться; отец устраивается стажером в брокерскую компанию; рассчитывая получить должность специалиста. Только на протяжении стажировки он не будет получать никаких денег; а стажировка длится 6 месяцев…,"['крис', 'гарднер', 'отец', 'одиночк', 'воспитыв', 'пятилетн', 'сын', 'крис', 'из', 'сил', 'стара', 'сдела', 'ребенок', 'рос', 'счастлив', 'работ', 'продавц', 'оплат', 'квартир', 'выселя', 'оказа', 'улиц', 'жел', 'сдава', 'отец', 'устраива', 'стажер', 'брокерск', 'компан', 'рассчитыв', 'получ', 'должност', 'специалист', 'протяжен', 'стажировк', 'получа', 'никак', 'денег', 'стажировк', 'длит', 'месяц']"
81,Белый Бим Черное ухо ,Трогательная лирическая киноповесть о судьбе собаки; теряющей любимого хозяина; об отношении людей к «братьям меньшим»; которое как рентгеном просвечивает души; выявляя в одних низость и мелочную подлость; а в других — благородство; способность сострадать и любить…,"['трогательн', 'лирическ', 'киноповест', 'судьб', 'собак', 'теря', 'любим', 'хозяин', 'отношен', 'люд', 'брат', 'меньш', 'котор', 'рентген', 'просвечива', 'душ', 'выявл', 'одн', 'низост', 'мелочн', 'подлост', 'благородств', 'способн', 'сострада', 'люб']"
82,Судьба человека ,Фильм рассказывает о русском солдате; которого война подвергла страшным испытаниям; лишила дома и семьи; бросила в концлагерь. Но судьба не сломила его дух — он выжил; отстоял своё право быть человеком; сохранил способность любить…,"['фильм', 'рассказыва', 'русск', 'солдат', 'войн', 'подвергл', 'страшн', 'испытан', 'лиш', 'дом', 'сем', 'брос', 'концлагер', 'судьб', 'слом', 'дух', 'выж', 'отстоя', 'сво', 'прав', 'человек', 'сохран', 'способн', 'люб']"
83,Красавица и чудовище ,В заколдованном замке; скрытом в темном лесу; живет ужасное Чудовище. Растопить лед в его сердце и вернуть ему человеческий облик; сняв заклятие; может только прекрасная девушка; которая полюбит его таким; какой он есть.,"['заколдова', 'замк', 'скрыт', 'темн', 'лес', 'живет', 'ужасн', 'чудовищ', 'растоп', 'лед', 'сердц', 'вернут', 'человеческ', 'облик', 'сняв', 'заклят', 'прекрасн', 'девушк', 'полюб', 'так']"
84,Назад в будущее 2 ,Продолжение фантастической истории о приключениях американского подростка во времени. На этот раз с помощью модернизированной Доком машины времени Марти из 80-х попадает в будущее.Дети Марти в беде; и их надо выручать. Приходится повозиться со злодеем…,"['продолжен', 'фантастическ', 'истор', 'приключен', 'американск', 'подростк', 'помощ', 'модернизирова', 'док', 'машин', 'март', 'попада', 'будущ', 'дет', 'март', 'бед', 'выруча', 'приход', 'повоз', 'злоде']"
85,Дневник памяти ,Это история отношений юноши и девушки из разных социальных слоев; живших в Южной Каролине. Ной и Элли провели вместе незабываемое лето; пока их не разделили вначале родители; а затем Вторая мировая война.После войны все изменилось: Элли обручилась с удачливым бизнесменом; а Ной жил наедине со своими воспоминаниями в старинном доме; который ему удалось отреставрировать. Когда Элли прочла об этом в местной газете; она поняла: ей нужно найти его и решить наконец судьбу их любви…,"['истор', 'отношен', 'юнош', 'девушк', 'разн', 'социальн', 'сло', 'живш', 'южн', 'каролин', 'но', 'элл', 'провел', 'вмест', 'незабыва', 'лет', 'раздел', 'вначал', 'родител', 'втор', 'миров', 'войн', 'войн', 'измен', 'элл', 'обруч', 'удачлив', 'бизнесмен', 'но', 'жил', 'наедин', 'сво', 'воспоминан', 'старин', 'дом', 'уда', 'отреставрирова', 'элл', 'прочл', 'местн', 'газет', 'поня', 'найт', 'реш', 'судьб', 'любв']"
86,Укрощение строптивого ,Категорически не приемлющий женского общества грубоватый фермер вполне счастлив и доволен своей холостяцкой жизнью. Но неожиданно появившаяся в его жизни женщина пытается изменить его взгляды на жизнь и очаровать его.,"['категорическ', 'приемлющ', 'женск', 'обществ', 'грубоват', 'фермер', 'вполн', 'счастл', 'довол', 'холостяцк', 'жизн', 'неожида', 'появ', 'жизн', 'женщин', 'пыта', 'измен', 'взгляд', 'очарова']"
87,Однажды в Америке ,В бурные двадцатые годы; когда Америка веселилась под звуки джаза и каждый бродяга мечтал стать миллионером; в трущобах Нью-Йорка встретились несколько отчаянных парней. Убирая с дороги конкурентов; безжалостно карая предателей и нагло проворачивая хитроумные аферы; они стали королями преступного мира золотой эры «сухого закона». Они поклялись отдать жизнь друг за друга; зная; что самое главное для них — это дружба; долг и справедливость — не утопить в реках крови и бездонном океане денег. Спустя много лет судьба жестоко обошлась с легендарными гангстерами; заставив их исполнить свою клятву. Это случилось однажды в Америке…,"['бурн', 'двадцат', 'год', 'америк', 'весел', 'звук', 'джаз', 'бродяг', 'мечта', 'стат', 'миллионер', 'трущоб', 'нью', 'йорк', 'встрет', 'отчая', 'парн', 'убир', 'дорог', 'конкурент', 'безжалостн', 'кар', 'предател', 'нагл', 'проворачив', 'хитроумн', 'афер', 'стал', 'корол', 'преступн', 'золот', 'эр', 'сух', 'закон', 'покля', 'отда', 'друг', 'друг', 'зна', 'сам', 'главн', 'дружб', 'долг', 'справедлив', 'утоп', 'рек', 'кров', 'бездон', 'океан', 'денег', 'спуст', 'судьб', 'жесток', 'обошл', 'легендарн', 'гангстер', 'застав', 'исполн', 'клятв', 'случ', 'америк']"
88,Римские каникулы ,В Рим с официальным визитом прибывает юная принцесса Анна. Дни её расписаны по минутам — приемы; посещения фабрик; интервью… в общем; тоска! Она совсем девчонка; ей хочется свободы и она убегает из дворца на улицу; где гуляют; поют и целуются жители Вечного города.Увы; незадолго до побега доктор сделал ей укол снотворного и принцесса засыпает на скамейке. А мимо проходит возвращающийся домой после вечера за карточным столом американский журналист Джо Брэдли. Рано утром по заданию редактора он должен быть на пресс-конференции у принцессы Анны; которую он в глаза никогда не видел…,"['рим', 'официальн', 'визит', 'прибыва', 'юн', 'принцесс', 'ан', 'дни', 'расписа', 'минут', 'прием', 'посещен', 'фабрик', 'интерв', 'общ', 'тоск', 'девчонк', 'хочет', 'свобод', 'убега', 'дворц', 'улиц', 'гуля', 'поют', 'цел', 'жител', 'вечн', 'город', 'ув', 'незадолг', 'побег', 'доктор', 'сдела', 'укол', 'снотворн', 'принцесс', 'засыпа', 'скамейк', 'проход', 'возвраща', 'дом', 'вечер', 'карточн', 'стол', 'американск', 'журналист', 'джо', 'брэдл', 'утр', 'задан', 'редактор', 'долж', 'пресс', 'конференц', 'принцесс', 'ан', 'котор', 'глаз', 'видел']"
89,Унесенные ветром ,Могучие ветры Гражданской войны в один миг уносят беззаботную юность южанки Скарлетт О`Хара; когда привычный шум балов сменяется грохотом канонад на подступах к родному дому. Для молодой женщины; вынужденной бороться за новую жизнь на разоренной земле; испытания и лишения становятся шансом переосмыслить идеалы; обрести веру в себя и найти настоящую любовь.,"['могуч', 'ветр', 'гражданск', 'войн', 'миг', 'унос', 'беззаботн', 'юност', 'южанк', 'скарлетт', 'хар', 'привычн', 'шум', 'бал', 'сменя', 'грохот', 'канонад', 'подступ', 'родн', 'дом', 'молод', 'женщин', 'вынужден', 'борот', 'нов', 'разорен', 'земл', 'испытан', 'лишен', 'станов', 'шанс', 'переосмысл', 'идеал', 'обрест', 'вер', 'найт', 'настоя', 'любов']"
90,Служебный роман ,Анатолий Ефремович Новосельцев; рядовой служащий одного статистического управления; — человек робкий и застенчивый. Для него неплохо бы получить вакантное место зав. отделом; но он не знает как подступиться к этому делу. Старый приятель Самохвалов советует ему приударить за Людмилой Прокофьевной Калугиной; — сухарем в юбке и директором заведения…,"['анатол', 'ефремович', 'новосельц', 'рядов', 'служа', 'статистическ', 'управлен', 'робк', 'застенчив', 'неплох', 'получ', 'вакантн', 'мест', 'зав', 'отдел', 'знает', 'подступ', 'дел', 'стар', 'приятел', 'самохвал', 'совет', 'приудар', 'людмил', 'прокофьевн', 'калугин', 'сухар', 'юбк', 'директор', 'заведен']"
91,Балто ,Наполовину лайка; наполовину волк; Балто и сам не знает кто он такой на самом деле. Всеми гонимый бродяга в ледяной пустыне Аляски. Только его друзья русский полярный гусь Борис; медвежата Мак и Лак и красавица-лайка Дженна уверены; что хотя он и не такой как все; но в его груди бьется благородное сердце.Однажды случается несчастье. Эпидемия дифтерии охватила детей небольшого поселка; а свирепая вьюга сделала непроходимыми все дороги. Лишь собачья упряжка может преодолеть шестьсот миль через ослепляющий арктический шторм и привезти спасительное лекарство.Но собаки сбились с дороги где-то на замерзших просторах. Теперь только Балто может найти упряжку и спасти детей; а заодно стать героем и настоящей легендой!,"['наполовин', 'лайк', 'наполовин', 'волк', 'балт', 'знает', 'дел', 'гоним', 'бродяг', 'ледян', 'пустын', 'аляск', 'друз', 'русск', 'полярн', 'гу', 'борис', 'медвежат', 'мак', 'лак', 'красавиц', 'лайк', 'джен', 'увер', 'груд', 'бьет', 'благородн', 'сердц', 'случа', 'несчаст', 'эпидем', 'дифтер', 'охват', 'дет', 'небольш', 'поселк', 'свиреп', 'вьюг', 'сдела', 'непроходим', 'дорог', 'собач', 'упряжк', 'преодолет', 'шестьсот', 'мил', 'ослепля', 'арктическ', 'шторм', 'привезт', 'спасительн', 'лекарств', 'собак', 'сбил', 'дорог', 'замерзш', 'простор', 'балт', 'найт', 'упряжк', 'спаст', 'дет', 'заодн', 'стат', 'геро', 'настоя', 'легенд']"
92,Темный рыцарь: Возрождение легенды ,Восемь лет назад Бэтмен растворился в ночи; превратившись из героя в беглеца. Приняв на себя вину за смерть прокурора Харви Дента; он пожертвовал всем. Вместе с комиссаром Гордоном они решили; что так будет лучше для всех. Пока преступность была раздавлена антикриминальным актом Дента; ложь действовала.Тем не менее; еще опаснее становится появление нового врага Бэйна; чье лицо закрыто маской. Он разворачивает в Готэме чудовищную деятельность; и это вынуждает Брюса Уэйна выйти из импровизированного изгнания. Однако даже надев свой костюм; Бэтмен может проиграть Бэйну. Но с появлением хитрой воровки по прозвищу Женщина — Кошка с загадочным прошлым всё меняется.,"['бэтм', 'раствор', 'ноч', 'преврат', 'геро', 'беглец', 'приня', 'вин', 'смерт', 'прокурор', 'харв', 'дент', 'пожертвова', 'вмест', 'комиссар', 'гордон', 'реш', 'преступн', 'раздавл', 'антикриминальн', 'акт', 'дент', 'лож', 'действова', 'опасн', 'станов', 'появлен', 'нов', 'враг', 'бэйн', 'чье', 'лиц', 'закрыт', 'маск', 'разворачива', 'готэм', 'чудовищн', 'деятельн', 'вынужда', 'брюс', 'уэйн', 'выйт', 'импровизирова', 'изгнан', 'над', 'сво', 'костюм', 'бэтм', 'проигра', 'бэйн', 'появлен', 'хитр', 'воровк', 'прозвищ', 'женщин', 'кошк', 'загадочн', 'прошл', 'меня']"
93,Жизнь других ,Сто тысяч сотрудников; двести тысяч информаторов. Вместе они — щит и меч партии; знаменитое Штази. Их метод — подозрение. Жизнь других — их профессия.Популярный писатель и драматург Георг Драйман так бы и дожил до конца своих дней; обласканный вниманием благодарных читателей и абсолютно неинтересный для спецслужб; если бы не роман с известной театральной актрисой. Слишком известной; чтобы остаться незамеченной влиятельным чиновником из ЦК. Так в жизни Драймана появляются специалисты из Штази.,"['сто', 'сотрудник', 'двест', 'информатор', 'вмест', 'щит', 'меч', 'парт', 'знаменит', 'штаз', 'метод', 'подозрен', 'професс', 'популярн', 'писател', 'драматург', 'георг', 'драйма', 'дож', 'конц', 'дне', 'обласка', 'вниман', 'благодарн', 'читател', 'абсолютн', 'неинтересн', 'спецслужб', 'рома', 'известн', 'театральн', 'актрис', 'известн', 'оста', 'незамечен', 'влиятельн', 'чиновник', 'жизн', 'драйма', 'появля', 'специалист', 'штаз']"
94,Счастливое число Слевина ,Слевину не везет. Дом опечатан; девушка ушла к другому… Его друг Ник уезжает из Нью-Йорка и предлагает Слевину пожить в пустой квартире. В это время крупный криминальный авторитет по прозвищу Босс хочет рассчитаться со своим бывшим партнером за убийство сына и в отместку «заказать» его наследника.,"['слевин', 'везет', 'дом', 'опечата', 'девушк', 'ушл', 'друг', 'друг', 'ник', 'уезжа', 'нью', 'йорк', 'предлага', 'слевин', 'пож', 'пуст', 'квартир', 'крупн', 'криминальн', 'авторитет', 'прозвищ', 'босс', 'хочет', 'рассчита', 'сво', 'бывш', 'партнер', 'убийств', 'сын', 'отместк', 'заказа', 'наследник']"
95,Адвокат дьявола ,В Нью-Йорк по приглашению главы крупного юридического концерна прибывает Кевин Ломакс; молодой адвокат. До этого он был известен тем; что защищал исключительно негодяев и притом не проиграл ни одного процесса. На новом месте работы он вполне счастлив; он живет в роскошной квартире с любящей женой; его окружают интересные люди.,"['нью', 'йорк', 'приглашен', 'глав', 'крупн', 'юридическ', 'концерн', 'прибыва', 'кевин', 'ломакс', 'молод', 'адвокат', 'извест', 'защища', 'исключительн', 'негодя', 'прит', 'проигра', 'процесс', 'нов', 'мест', 'работ', 'вполн', 'счастл', 'живет', 'роскошн', 'квартир', 'любя', 'жен', 'окружа', 'интересн']"
96,Амадей ,1781 год. Антонио Сальери успешно справляется с обязанностями придворного композитора при императоре Иосифе II. Когда же при дворе появляется Моцарт; Сальери к своему ужасу обнаруживает; что божественный музыкальный дар; которым он так желает обладать; был отпущен какому-то непристойному; проказливому шуту. Ослепленный завистью; он замышляет во что бы то ни стало уничтожить Моцарта…,"['антон', 'сальер', 'успешн', 'справля', 'обязан', 'придворн', 'композитор', 'император', 'иосиф', 'двор', 'появля', 'моцарт', 'сальер', 'сво', 'ужас', 'обнаружива', 'божествен', 'музыкальн', 'дар', 'котор', 'жела', 'облада', 'отпущ', 'как', 'непристойн', 'проказлив', 'шут', 'ослеплен', 'завист', 'замышля', 'стал', 'уничтож', 'моцарт']"
